iso,region,d_obs,d_pred,d_itn,years
MDG,Atsimo Andrefana,-0.06418511451248249,-0.0670243161063313,0.046699999999999964,7
MDG,Atsimo Atsinanana,0.015667368630760986,-0.0848743022204582,0.046699999999999964,7
MDG,Atsinanana,0.0531678293792901,-0.028616205974391202,0.046699999999999964,7
MDG,Betsiboka,0.0322174186017333,-0.021616901758794802,0.046699999999999964,7
MDG,Boeny,0.017665562812656,-0.019832227978128898,0.046699999999999964,7
MDG,Bongolava,0.0374357623173627,-0.0165863906215745,0.046699999999999964,7
MDG,Diana,0.028619641740931,-0.018673017309499298,0.046699999999999964,7
MDG,Haute Matsiatra,0.036016515543137596,-0.011608780784787,0.046699999999999964,7
MDG,Ihorombe,0.051014406251672605,-0.0258758093125296,0.046699999999999964,7
MDG,Itasy,0.016063782262768403,-0.013713841783014798,0.046699999999999964,7
MDG,Melaky,-0.004685708036002004,-0.05848434860438,0.046699999999999964,7
MDG,Menabe,0.007137751881481899,-0.033585197114338994,0.046699999999999964,7
MDG,Sava,0.0476765490107103,-0.0211518898057414,0.046699999999999964,7
MDG,Sofia,0.0084574909063211,-0.032609127724457,0.046699999999999964,7
MDG,Vakinankaratra,0.017296815293720104,-0.009021953528940401,0.046699999999999964,7
MDG,Vatovavy Fitovinany,0.039778638608667594,-0.037822445773930805,0.046699999999999964,7
MLI,Bamako,0.0365842787884523,-0.033944482266587,0.013400000000000079,7
MLI,Gao,-0.019000558657916083,-0.08343824524599269,0.013400000000000079,7
MLI,Kayes,-0.103979480385956,-0.1412493837836592,0.013400000000000079,7
MLI,Kidal,0.008177442936626506,-0.0319778924429743,0.013400000000000079,7
MLI,Koulikoro,-0.09003876670128297,-0.14431660365958898,0.013400000000000079,7
MLI,Mopti,-0.350665982512945,-0.10476181695669251,0.013400000000000079,7
MLI,Segou,-0.150819030710567,-0.10626931616548402,0.013400000000000079,7
MLI,Sikasso,-0.17773204972747503,-0.09354024171920328,0.013400000000000079,7
MLI,Tombouctou,-0.030159243389668897,-0.0790576575271883,0.013400000000000079,7
MOZ,Cabo Delgado,-0.029443966972484026,-0.10715204568139189,-0.07789999999999997,7
MOZ,Cidade De Maputo,0.1708463658427374,-0.025663840905662202,-0.07789999999999997,7
