lat,lon,GLDAS_NOAH10_M_2_1_AvgSurfT_inst
-26.5,29.5,290.48337
-26.5,30.5,290.43283
-26.5,31.5,292.94058
-26.5,32.5,296.11795
-26.5,114.5,299.13483
-26.5,115.5,299.5092
-26.5,116.5,299.05637
-26.5,117.5,298.41327
-26.5,118.5,298.44
-26.5,119.5,298.16483
-26.5,120.5,297.95013
-26.5,121.5,298.12802
-26.5,122.5,298.05502
-26.5,123.5,297.8828
-26.5,124.5,297.9436
-26.5,125.5,298.23462
-26.5,126.5,297.7877
-26.5,127.5,297.76138
-26.5,128.5,297.55463
-26.5,129.5,296.39258
-26.5,130.5,296.12842
-26.5,131.5,295.95758
-26.5,132.5,296.61795
-26.5,133.5,297.35983
-26.5,134.5,298.77475
-26.5,135.5,299.11902
-26.5,136.5,298.63907
-26.5,137.5,298.8198
-26.5,138.5,299.56613
-26.5,139.5,299.9703
-26.5,140.5,299.96652
-26.5,141.5,299.8223
-26.5,142.5,299.4693
-26.5,143.5,298.45657
-26.5,144.5,297.761
-26.5,145.5,297.29193
-26.5,146.5,296.39273
-26.5,147.5,295.49808
-26.5,148.5,295.22864
-26.5,149.5,295.39984
-26.5,150.5,294.9004
-26.5,151.5,293.71542
-26.5,152.5,293.02808
-25.5,-70.5,289.30444
-25.5,-69.5,286.50247
-25.5,-68.5,280.3396
-25.5,-67.5,280.11444
-25.5,-66.5,283.3393
-25.5,-65.5,287.95395
-25.5,-64.5,293.71432
-25.5,-63.5,296.00583
-25.5,-62.5,296.58185
-25.5,-61.5,296.7178
-25.5,-60.5,296.4435
-25.5,-59.5,296.0567
-25.5,-58.5,295.95166
-25.5,-57.5,295.785
-25.5,-56.5,295.10165
-25.5,-55.5,294.69086
-25.5,-54.5,293.77814
-25.5,-53.5,292.48328
-25.5,-52.5,292.3545
-25.5,-51.5,290.73126
-25.5,-50.5,290.99405
-25.5,-49.5,291.08615
-25.5,-48.5,291.04306
-25.5,15.5,297.97763
-25.5,16.5,295.1846
-25.5,17.5,296.65353
-25.5,18.5,297.8331
-25.5,19.5,296.92786
-25.5,20.5,297.07687
-25.5,21.5,297.53094
-25.5,22.5,297.17133
-25.5,23.5,296.5759
-25.5,24.5,295.58917
-25.5,25.5,294.08118
-25.5,26.5,293.25458
-25.5,27.5,293.51648
-25.5,28.5,293.44202
-25.5,29.5,292.07098
-25.5,30.5,290.90512
-25.5,31.5,294.56836
-25.5,32.5,297.1825
-25.5,45.5,298.29135
-25.5,114.5,300.2031
-25.5,115.5,300.6488
-25.5,116.5,300.16986
-25.5,117.5,299.94876
-25.5,118.5,299.48004
-25.5,119.5,299.02286
-25.5,120.5,298.40057
-25.5,121.5,298.8737
-25.5,122.5,299.02533
-25.5,123.5,299.06232
-25.5,124.5,299.1637
-25.5,125.5,299.036
-25.5,126.5,298.89514
-25.5,127.5,298.52347
-25.5,128.5,297.57574
-25.5,129.5,296.71472
-25.5,130.5,296.6575
-25.5,131.5,296.81955
-25.5,132.5,296.91705
-25.5,133.5,297.63638
-25.5,134.5,298.29346
-25.5,135.5,298.68835
-25.5,136.5,298.72903
-25.5,137.5,299.2199
-25.5,138.5,299.75955
-25.5,139.5,300.63477
-25.5,140.5,300.57657
-25.5,141.5,299.85626
-25.5,142.5,299.65344
-25.5,143.5,299.04092
-25.5,144.5,298.30093
-25.5,145.5,297.49973
-25.5,146.5,296.1275
-25.5,147.5,294.8352
-25.5,148.5,294.4689
-25.5,149.5,294.71194
-25.5,150.5,294.9936
-25.5,151.5,294.2273
-25.5,152.5,294.5025
-24.5,-70.5,289.96112
-24.5,-69.5,288.39224
-24.5,-68.5,284.6422
-24.5,-67.5,281.64343
-24.5,-66.5,282.78293
-24.5,-65.5,289.2169
-24.5,-64.5,295.51318
-24.5,-63.5,296.41315
-24.5,-62.5,297.33118
-24.5,-61.5,297.44882
-24.5,-60.5,297.17404
-24.5,-59.5,296.95462
-24.5,-58.5,296.7575
-24.5,-57.5,296.74875
-24.5,-56.5,296.0236
-24.5,-55.5,295.2156
-24.5,-54.5,294.66132
-24.5,-53.5,294.04974
-24.5,-52.5,293.49237
-24.5,-51.5,292.504
-24.5,-50.5,291.628
-24.5,-49.5,292.1476
-24.5,-48.5,291.41907
-24.5,-47.5,293.0556
-24.5,15.5,297.44916
-24.5,16.5,296.31506
-24.5,17.5,297.73227
-24.5,18.5,297.06128
-24.5,19.5,296.8946
