lat,lon,AIRS3STM_006_RelHumSurf_D
-87.5,-140.5,85.796196
-87.5,-139.5,86.08849
-87.5,-138.5,86.979355
-87.5,-137.5,85.892296
-87.5,-136.5,86.086006
-87.5,-135.5,86.29415
-87.5,-134.5,86.47898
-87.5,-133.5,86.47321
-87.5,-132.5,86.711006
-87.5,-131.5,86.3066
-87.5,-130.5,85.845795
-87.5,-129.5,86.17578
-87.5,-128.5,85.660965
-87.5,-127.5,85.547455
-87.5,-126.5,86.60806
-87.5,-125.5,85.649765
-87.5,-124.5,85.90883
-87.5,-123.5,84.78095
-87.5,-122.5,85.70085
-87.5,-121.5,85.01482
-87.5,-120.5,85.91472
-87.5,-119.5,86.01641
-87.5,-118.5,86.17738
-87.5,-117.5,86.76838
-87.5,-116.5,85.91808
-87.5,-115.5,85.875626
-87.5,-114.5,86.197914
-87.5,-113.5,86.78576
-87.5,-112.5,85.73205
-87.5,-111.5,86.25867
-87.5,-110.5,86.22581
-87.5,-109.5,86.62995
-87.5,-108.5,86.18495
-87.5,-107.5,85.786156
-87.5,-106.5,87.06383
-87.5,-105.5,86.302734
-87.5,-104.5,86.80198
-87.5,-103.5,87.13393
-87.5,-102.5,87.28286
-87.5,-101.5,86.21394
-87.5,-100.5,86.52513
-87.5,-99.5,86.49519
-87.5,-98.5,86.79491
-87.5,-97.5,87.42636
-87.5,-96.5,86.91226
-87.5,-95.5,86.74381
-87.5,-94.5,87.1875
-87.5,-93.5,86.30289
-87.5,-92.5,86.80903
-87.5,-91.5,86.667854
-87.5,-90.5,86.20342
-87.5,-89.5,85.62929
-87.5,-88.5,86.75361
-87.5,-87.5,85.459114
-87.5,-86.5,85.84346
-87.5,-85.5,86.58773
-87.5,-84.5,86.23131
-87.5,-83.5,85.91156
-87.5,-82.5,85.88444
-87.5,-81.5,85.85741
-87.5,-80.5,86.22605
-87.5,-79.5,86.22381
-87.5,-78.5,85.98032
-87.5,-77.5,86.16505
-87.5,-76.5,86.51464
-87.5,-75.5,85.93863
-87.5,-74.5,85.96933
-87.5,-73.5,86.52418
-87.5,-72.5,86.27381
-87.5,-71.5,86.80417
-87.5,-70.5,85.89171
-87.5,-69.5,86.269646
-87.5,-68.5,85.67083
-87.5,-67.5,85.15536
