lat,lon,AIRS3STM_006_RelHumSurf_A
-87.5,-108.5,85.84722
-87.5,-107.5,85.39092
-87.5,-106.5,86.622665
-87.5,-105.5,85.857635
-87.5,-104.5,85.561356
-87.5,-103.5,85.29491
-87.5,-102.5,85.851135
-87.5,-101.5,86.14453
-87.5,-100.5,84.54111
-87.5,-99.5,85.30556
-87.5,-98.5,85.60033
-87.5,-97.5,85.21761
-87.5,-96.5,84.58502
-87.5,-95.5,84.926704
-87.5,-94.5,85.32799
-87.5,-93.5,84.679825
-87.5,-92.5,85.29701
-87.5,-91.5,85.47382
-87.5,-90.5,84.29472
-87.5,-89.5,84.2125
-87.5,-88.5,85.26576
-87.5,-87.5,85.09016
-87.5,-86.5,84.7804
-87.5,-85.5,84.82411
-87.5,-84.5,84.75829
-87.5,-83.5,84.58998
-87.5,-82.5,84.665375
-87.5,-81.5,85.13108
-87.5,-80.5,84.47433
-87.5,-79.5,84.745575
-87.5,-78.5,84.271416
-87.5,-77.5,84.2659
-87.5,-76.5,85.02029
-87.5,-75.5,84.43304
-87.5,-74.5,84.35397
-87.5,-73.5,85.11989
-87.5,-72.5,85.3206
-87.5,-71.5,84.9889
-87.5,-70.5,84.673615
-87.5,-69.5,85.291275
-87.5,-68.5,84.49056
-87.5,-67.5,86.36238
-87.5,-66.5,85.22148
-87.5,-65.5,85.30576
-87.5,-64.5,85.02838
-87.5,-63.5,85.35096
-87.5,-62.5,85.60437
-87.5,-61.5,86.18321
-87.5,-60.5,85.725
-87.5,-59.5,86.1693
-87.5,-58.5,84.70655
-87.5,-57.5,84.91827
-87.5,-56.5,85.22596
-87.5,-55.5,84.52375
-87.5,-54.5,85.17203
-87.5,-53.5,85.2212
-87.5,-52.5,84.78737
-87.5,-51.5,85.36735
-87.5,-50.5,85.0625
-87.5,-49.5,84.80934
-87.5,-48.5,83.77423
-87.5,-47.5,84.40051
-87.5,-46.5,85.15932
-87.5,-45.5,84.53444
-87.5,-44.5,84.08355
-87.5,-43.5,83.84056
-87.5,-42.5,84.85873
-87.5,-41.5,84.63158
-87.5,-40.5,84.24227
-87.5,-39.5,83.72125
-87.5,-38.5,84.53191
-87.5,-37.5,84.37891
-87.5,-36.5,83.79671
-87.5,-35.5,84.15522
-87.5,-34.5,84.40761
-87.5,-33.5,84.53024
-87.5,-32.5,84.00833
-87.5,-31.5,84.582664
-87.5,-30.5,85.4139
-87.5,-29.5,85.11889
-87.5,-28.5,85.74236
-87.5,-27.5,85.191536
-87.5,-26.5,85.6552
-87.5,-25.5,85.46875
-87.5,-24.5,85.90557
-87.5,-23.5,85.87991
-87.5,-22.5,84.172585
-87.5,-21.5,86.215515
-87.5,-20.5,84.38403
-87.5,-19.5,85.54878
-87.5,-18.5,85.70903
-87.5,-17.5,85.836205
-87.5,-16.5,85.51506
-87.5,-15.5,84.488235
-87.5,-14.5,85.36729
-87.5,-13.5,84.91397
-87.5,-12.5,85.08828
-87.5,-11.5,85.813255
-87.5,-10.5,85.90334
-87.5,-9.5,86.363235
-87.5,-8.5,85.646835
-87.5,-7.5,84.149216
-87.5,-6.5,86.71953
-87.5,-5.5,86.53203
-87.5,-4.5,84.66717
-87.5,-3.5,86.198715
-87.5,-2.5,86.521835
-87.5,-1.5,86.08516
-87.5,-0.5,85.86729
-87.5,0.5,86.016975
-87.5,1.5,85.48945
-87.5,2.5,86.283485
-87.5,3.5,84.92801
-87.5,4.5,86.135544
-87.5,5.5,86.35442
-87.5,6.5,84.830246
-87.5,7.5,85.855225
-87.5,8.5,85.29934
-87.5,9.5,84.67776
-87.5,10.5,84.903786
-87.5,11.5,84.832535
