lat,lon,GLDAS_NOAH10_M_2_1_Tair_f_inst
-27.5,132.5,294.49515
-27.5,133.5,295.37177
-27.5,134.5,296.67883
-27.5,135.5,297.31622
-27.5,136.5,297.4756
-27.5,137.5,297.68478
-27.5,138.5,297.7803
-27.5,139.5,297.86
-27.5,140.5,297.97656
-27.5,141.5,297.90054
-27.5,142.5,297.39862
-27.5,143.5,296.70892
-27.5,144.5,296.1966
-27.5,145.5,295.7202
-27.5,146.5,295.10803
-27.5,147.5,294.37222
-27.5,148.5,294.05936
-27.5,149.5,293.87912
-27.5,150.5,292.77396
-27.5,151.5,290.99118
-27.5,152.5,290.87518
-26.5,-70.5,289.00436
-26.5,-69.5,284.73303
-26.5,-68.5,272.55414
-26.5,-67.5,273.12433
-26.5,-66.5,282.54205
-26.5,-65.5,288.2176
-26.5,-64.5,293.39502
-26.5,-63.5,294.99734
-26.5,-62.5,295.09103
-26.5,-61.5,295.0057
-26.5,-60.5,294.98917
-26.5,-59.5,294.89334
-26.5,-58.5,295.16
-26.5,-57.5,294.99536
-26.5,-56.5,294.55017
-26.5,-55.5,294.3632
-26.5,-54.5,292.98532
-26.5,-53.5,292.58127
-26.5,-52.5,291.6089
-26.5,-51.5,290.4638
-26.5,-50.5,290.06906
-26.5,-49.5,291.9246
-26.5,15.5,293.6823
-26.5,16.5,293.0035
-26.5,17.5,295.3301
-26.5,18.5,295.99988
-26.5,19.5,295.18094
-26.5,20.5,295.62292
-26.5,21.5,296.25842
-26.5,22.5,296.08527
-26.5,23.5,294.97424
-26.5,24.5,293.9921
-26.5,25.5,292.28577
-26.5,26.5,290.88568
-26.5,27.5,290.79865
-26.5,28.5,290.20374
-26.5,29.5,289.36972
-26.5,30.5,289.0229
-26.5,31.5,292.12354
-26.5,32.5,295.18616
-26.5,114.5,296.83994
-26.5,115.5,297.3439
-26.5,116.5,297.21494
-26.5,117.5,296.5884
-26.5,118.5,296.55588
-26.5,119.5,296.18274
-26.5,120.5,296.20496
-26.5,121.5,296.43207
-26.5,122.5,296.43292
-26.5,123.5,296.35486
-26.5,124.5,296.43958
-26.5,125.5,296.60992
-26.5,126.5,296.25885
-26.5,127.5,296.09943
-26.5,128.5,295.89526
-26.5,129.5,294.6458
-26.5,130.5,294.31427
-26.5,131.5,294.0965
-26.5,132.5,294.8298
-26.5,133.5,295.82666
-26.5,134.5,297.03082
-26.5,135.5,297.56192
-26.5,136.5,297.5232
-26.5,137.5,298.0442
-26.5,138.5,298.34476
-26.5,139.5,298.61746
-26.5,140.5,298.38422
-26.5,141.5,298.2314
-26.5,142.5,297.7613
-26.5,143.5,296.9505
-26.5,144.5,296.15686
-26.5,145.5,295.5568
-26.5,146.5,294.6359
-26.5,147.5,293.87024
-26.5,148.5,293.51837
-26.5,149.5,293.63013
-26.5,150.5,292.87796
-26.5,151.5,291.86038
-26.5,152.5,292.15802
-25.5,-70.5,286.02124
-25.5,-69.5,283.17996
-25.5,-68.5,274.48975
-25.5,-67.5,274.31665
-25.5,-66.5,278.18173
-25.5,-65.5,285.82208
-25.5,-64.5,293.5054
-25.5,-63.5,295.1481
-25.5,-62.5,295.4955
-25.5,-61.5,295.68414
-25.5,-60.5,295.6389
-25.5,-59.5,295.64792
-25.5,-58.5,295.9333
-25.5,-57.5,295.76825
-25.5,-56.5,294.86697
-25.5,-55.5,294.27466
-25.5,-54.5,294.32065
-25.5,-53.5,292.48807
-25.5,-52.5,292.25812
-25.5,-51.5,290.79706
-25.5,-50.5,291.10446
-25.5,-49.5,290.59903
-25.5,-48.5,291.213
-25.5,15.5,295.61887
-25.5,16.5,292.79507
-25.5,17.5,294.58508
-25.5,18.5,296.01172
-25.5,19.5,295.59937
-25.5,20.5,295.9681
-25.5,21.5,296.41293
-25.5,22.5,296.49686
-25.5,23.5,295.9338
