HH1,HH2,TNLN,TN3,TN4,TN5,TN5A,TN5B,TN7,TN8,TN9,TN10,TN11_1,TN11_2,TN11_3,TN11_4,TN2,HH6,HH7,helevel,religion,hhweight,wscore,windex5
4,15,3,1,4,11,13,9995, , , ,1,3,4,90, ,3,2,1,2,1,1.34111359031081,-0.1909353508980762,4
4,16,1,1,3,12,11,9995, , , ,1,1,2,4,90,2,2,1,2,2,1.34111359031081,0.5536952534479262,5
4,16,2,1,3,12,11,9995, , , ,1,3,90, , ,2,2,1,2,2,1.34111359031081,0.5536952534479262,5
4,17,1,1,4,12,13,9995, , , ,1,1,2,90, ,3,2,1,2,2,1.34111359031081,0.4727443497571188,5
4,17,2,1,4,12,13,9995, , , ,1,3,90, , ,3,2,1,2,2,1.34111359031081,0.4727443497571188,5
4,17,3,1,4,12,13,9995, , , ,1,4,5,6,90,3,2,1,2,2,1.34111359031081,0.4727443497571188,5
4,18,1,2,3,98,11,9995,1,1,0,1,1,90, , ,2,2,1,3,2,1.34111359031081,0.663376779568169,5
4,18,2,2,0,98,32,150,1,2, ,2, , , , ,2,2,1,3,2,1.34111359031081,0.663376779568169,5
4,19,1,2,95,98,11,9995,1,2, ,2, , , , ,1,2,1,3,2,1.34111359031081,0.981150037576746,5
4,20,1,1,12,98,96,9995,1,1,2,1,1,2,5,90,3,2,1,3,1,1.34111359031081,0.8607301664158902,5
4,20,2,1,4,98,96,9995,1,1,2,2, , , , ,3,2,1,3,1,1.34111359031081,0.8607301664158902,5
4,20,3,1,4,98,96,9995,1,1,2,1,3,4,90, ,3,2,1,3,1,1.34111359031081,0.8607301664158902,5
4,21,1,1,24,13,11,9995, , , ,1,3,4,5,90,4,2,1,2,2,1.34111359031081,0.4056609532614017,5
4,21,2,1,95,13,11,9995, , , ,1,1,2,90, ,4,2,1,2,2,1.34111359031081,0.4056609532614017,5
4,21,3,1,24,13,11,9995, , , ,2, , , , ,4,2,1,2,2,1.34111359031081,0.4056609532614017,5
4,21,4,1,2,12,31,9995, , , ,2, , , , ,4,2,1,2,2,1.34111359031081,0.4056609532614017,5
4,22,1,1,98,11,11,9995, , , ,1,1,2,90, ,4,2,1,2,2,1.34111359031081,-0.20455309872179012,4
4,22,2,1,98,12,11,9995, , , ,1,6,7,90, ,4,2,1,2,2,1.34111359031081,-0.20455309872179012,4
4,22,3,1,98,12,11,9995, , , ,2, , , , ,4,2,1,2,2,1.34111359031081,-0.20455309872179012,4
4,22,4,1,95,12,11,9995, , , ,2, , , , ,4,2,1,2,2,1.34111359031081,-0.20455309872179012,4
4,23,1,1,4,11,13,9995, , , ,1,1,90, , ,1,2,1,2,1,1.34111359031081,-0.0245840793029102,4
4,24,1,1,95,98,13,9995,2,2, ,1,1,2,90, ,2,2,1,1,2,1.34111359031081,-0.3879309645001547,3
4,24,2,1,98,12,13,9995, , , ,2, , , , ,2,2,1,1,2,1.34111359031081,-0.3879309645001547,3
4,25,1,2,24,98,13,9995,1,2, ,1,1,90, , ,6,2,1,3,2,1.34111359031081,0.5234676835494473,5
4,25,2,2,24,98,13,9995,1,2, ,1,2,90, , ,6,2,1,3,2,1.34111359031081,0.5234676835494473,5
4,25,3,2,24,98,13,9995,1,2, ,1,3,4,90, ,6,2,1,3,2,1.34111359031081,0.5234676835494473,5
4,25,4,2,24,98,13,9995,1,2, ,1,5,90, , ,6,2,1,3,2,1.34111359031081,0.5234676835494473,5
4,25,5,2,24,98,13,9995,1,2, ,1,6,90, , ,6,2,1,3,2,1.34111359031081,0.5234676835494473,5
4,25,6,2,24,98,13,9995,1,2, ,1,7,8,90, ,6,2,1,3,2,1.34111359031081,0.5234676835494473,5
5,1,1,2,3,12,13,9995, , , ,1,1,90, , ,1,1,1,2,2,2.0536889610617886,-0.36973646560869966,3
