HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,ethnicity,religion,region,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
3,12,3,1,12,7, , , ,2, , , , ,3,2,101,2,96,2,1,0.33418721353336056,0.21574695687936565,4, , ,0.7070120896686385,5
3,13,1,1,12,5, , , ,1,1,90, , ,1,2,101,1,96,2,1,0.33418721353336056,-0.3210122491007864,3, , ,-0.11602593950957854,3
3,14,1,1,12,17, , , ,1,1,3,90, ,2,2,101,2,96,2,1,0.33418721353336056,-0.5440154760912623,2, , ,-0.4579672316155415,3
3,14,2,1,12,17, , , ,1,2,90, , ,2,2,101,2,96,2,1,0.33418721353336056,-0.5440154760912623,2, , ,-0.4579672316155415,3
3,15,1,2,12,6, , , ,1,1,90, , ,3,2,101,2,96,5,1,0.33418721353336056,0.14993588615545964,4, , ,0.6061008927236256,4
3,15,2,2,12,6, , , ,1,2,90, , ,3,2,101,2,96,5,1,0.33418721353336056,0.14993588615545964,4, , ,0.6061008927236256,4
3,15,3,2,12,6, , , ,1,3,90, , ,3,2,101,2,96,5,1,0.33418721353336056,0.14993588615545964,4, , ,0.6061008927236256,4
3,16,1,1,12,98, , , ,1,1,90, , ,2,2,101,2,96,2,1,0.33418721353336056,-0.5779141484999437,2, , ,-0.5099456536345031,2
3,16,2,1,12,98, , , ,1,2,90, , ,2,2,101,2,96,2,1,0.33418721353336056,-0.5779141484999437,2, , ,-0.5099456536345031,2
3,18,1,1,11,4, , , ,1,1,2,90, ,4,2,101,2,96,2,1,0.33418721353336056,0.49209171704507537,4, , ,1.1307444527963293,5
3,18,2,1,11,4, , , ,1,3,90, , ,4,2,101,2,96,2,1,0.33418721353336056,0.49209171704507537,4, , ,1.1307444527963293,5
3,18,3,1,99,4,9,9, ,1,4,90, , ,4,2,101,2,96,2,1,0.33418721353336056,0.49209171704507537,4, , ,1.1307444527963293,5
3,18,4,1,11,4, , , ,2, , , , ,4,2,101,2,96,2,1,0.33418721353336056,0.49209171704507537,4, , ,1.1307444527963293,5
3,19,1,1,11,4, , , ,1,1,90, , ,4,2,101,2,96,5,1,0.33418721353336056,0.34576195504004703,4, , ,0.9063701754873539,5
3,19,2,1,11,4, , , ,2, , , , ,4,2,101,2,96,5,1,0.33418721353336056,0.34576195504004703,4, , ,0.9063701754873539,5
3,19,3,1,11,4, , , ,2, , , , ,4,2,101,2,96,5,1,0.33418721353336056,0.34576195504004703,4, , ,0.9063701754873539,5
3,19,4,1,11,4, , , ,2, , , , ,4,2,101,2,96,5,1,0.33418721353336056,0.34576195504004703,4, , ,0.9063701754873539,5
3,20,1,1,12,6, , , ,2, , , , ,1,2,101,2,96,5,1,0.33418721353336056,-0.36321577579324715,3, , ,-0.18073858355245986,3
3,21,1,1,12,24, , , ,1,1,2,90, ,1,2,101,1,96,5,1,0.33418721353336056,-0.27518819249646714,3, , ,-0.04576176738848671,4
3,23,1,1,12,6, , , ,1,1,90, , ,3,2,101,2,96,5,1,0.33418721353336056,-0.5039619116857567,2, , ,-0.39655122543885535,3
3,23,2,1,12,6, , , ,1,2,90, , ,3,2,101,2,96,5,1,0.33418721353336056,-0.5039619116857567,2, , ,-0.39655122543885535,3
3,23,3,1,12,6, , , ,1,3,4,90, ,3,2,101,2,96,5,1,0.33418721353336056,-0.5039619116857567,2, , ,-0.39655122543885535,3
3,24,1,1,14,13, , , ,1,4,3,90, ,2,2,101,2,96,5,1,0.33418721353336056,0.03592654711012608,4, , ,0.4312850336375455,4
