HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
2,20,2,1,12,95, , , ,1,3,4,90, , , ,3,2,2,2,1,0.6812406886783559,-0.43857403973579834,3, , ,-0.20957143755017776,3
2,20,3,1,12,95, , , ,1,7,9,10,90, , ,3,2,2,2,1,0.6812406886783559,-0.43857403973579834,3, , ,-0.20957143755017776,3
2,21,1,1,21,95, ,1,4,1,1,90, , , , ,3,2,2,2,1,0.6812406886783559,-0.181793414989674,3, , ,0.18609747845477154,4
2,21,2,1,12,23, , , ,1,4,5,90, , , ,3,2,2,2,1,0.6812406886783559,-0.181793414989674,3, , ,0.18609747845477154,4
2,21,3,1,21,95, ,2, ,1,2,3,90, , , ,3,2,2,2,1,0.6812406886783559,-0.181793414989674,3, , ,0.18609747845477154,4
2,22,1,1,18,5, , , ,1,1,90, , , , ,1,2,2,2,1,0.6812406886783559,-0.8497989888624358,1, , ,-0.8432209974264153,1
2,23,1,2,28,98, ,2, ,1,1,2,90, , , ,3,2,2,2,1,0.6812406886783559,-0.6222632662453433,2, , ,-0.4926150558398254,2
2,23,2,2,28,98, ,2, ,1,3,90, , , , ,3,2,2,2,1,0.6812406886783559,-0.6222632662453433,2, , ,-0.4926150558398254,2
2,23,3,2,28,98, ,2, ,2, , , , , , ,3,2,2,2,1,0.6812406886783559,-0.6222632662453433,2, , ,-0.4926150558398254,2
2,24,1,1,21,98, ,1,10,1,1,90, , , , ,4,2,2,3,1,0.6812406886783559,0.6667780159447791,5, , ,1.4936468255387219,5
2,24,2,1,21,98, ,1,10,1,3,90, , , , ,4,2,2,3,1,0.6812406886783559,0.6667780159447791,5, , ,1.4936468255387219,5
2,24,3,1,21,25, ,1,10,1,5,6,90, , , ,4,2,2,3,1,0.6812406886783559,0.6667780159447791,5, , ,1.4936468255387219,5
