HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
7,7,2,2,28,13, ,2, ,2, , , , ,4,1,0,4,0.929917364442639,1.8006620112869085,5,1.8711807823229187,5, , 
7,7,3,2,28,13, ,2, ,2, , , , ,4,1,0,4,0.929917364442639,1.8006620112869085,5,1.8711807823229187,5, , 
7,7,4,2,28,13, ,2, ,2, , , , ,4,1,0,4,0.929917364442639,1.8006620112869085,5,1.8711807823229187,5, , 
7,11,1,2,98,6,2,2, ,2, , , , ,1,1,0,4,0.929917364442639,1.696221382679211,5,1.5538013371297608,5, , 
7,12,1,2,98,12,2,2, ,1,5,90, , ,1,1,0,4,0.929917364442639,1.4711602100225591,5,0.8698741043610282,4, , 
7,19,1,1,98,95,2,2, ,2, , , , ,1,1,0,3,0.929917364442639,0.8242028381415207,4,-1.0961325588360735,1, , 
7,23,1,1,98,95,8,1,3,2, , , , ,3,1,0,4,0.929917364442639,1.9412563149443147,5,2.298425837115869,5, , 
7,23,2,2,98,95,8,1,3,2, , , , ,3,1,0,4,0.929917364442639,1.9412563149443147,5,2.298425837115869,5, , 
7,23,3,2,98,95,8,1,3,2, , , , ,3,1,0,4,0.929917364442639,1.9412563149443147,5,2.298425837115869,5, , 
7,24,1,1,14,4, , , ,1,2,3,90, ,1,1,0,3,0.929917364442639,1.1620034122692477,5,-0.06960715170455868,3, , 
8,3,1,1,98,95,2,2, ,2, , , , ,3,1,0,4,1.2684587091014798,1.481292068506008,5,0.9006633064859142,5, , 
8,3,2,1,98,95,2,2, ,2, , , , ,3,1,0,4,1.2684587091014798,1.481292068506008,5,0.9006633064859142,5, , 
8,3,3,2,15,24, , , ,2, , , , ,3,1,0,4,1.2684587091014798,1.481292068506008,5,0.9006633064859142,5, , 
8,8,1,1,14,12, , , ,1,1,2,4,90,1,1,0,2,1.2684587091014798,0.8890982728092833,4,-0.898925041752006,1, , 
8,12,1,1,98,12,2,2, ,2, , , , ,1,1,0,3,1.2684587091014798,0.8277768789126364,4,-1.0852715836374736,1, , 
8,17,1,1,98,95,2,2, ,2, , , , ,1,1,0,3,1.2684587091014798,0.8402156688834577,4,-1.0474719618576933,1, , 
8,18,1,1,98,95,1,1,95,2, , , , ,1,1,0,3,1.2684587091014798,0.8256809567259609,4,-1.0916407775962131,1, , 
8,19,1,1,98,12,2,2, ,1,2,3,4,90,1,1,0,3,1.2684587091014798,1.1081096164280504,5,-0.2333823343270412,3, , 
8,20,1,1,98,95,2,2, ,1,1,2,90, ,1,1,0,3,1.2684587091014798,1.2266563329076232,5,0.12686340152622186,3, , 
8,21,1,1,98,12,2,2, ,1,1,2,3,4,1,1,0,3,1.2684587091014798,0.7815200550243568,4,-1.225839151046559,1, , 
8,22,1,1,98,95,2,2, ,1,1,2,3,90,1,1,0,3,1.2684587091014798,0.8827709721282491,4,-0.9181527619073491,1, , 
8,25,1,1,98,95,2,2, ,2, , , , ,1,1,0,2,1.2684587091014798,1.1028309227518536,5,-0.2494234946746006,3, , 
